# EARTH ORIENTATION PARAMETER (EOP) PRODUCT CENTER CENTER (PARIS OBSERVATORY) - INTERNATIONAL EARTH ROTATION AND REFERENCE SYSTEMS SERVICE  
# EOP (IERS) 20 C04 TIME SERIES  consistent with ITRF 2020 - sampled at 0h UTC     
# Description: https://hpiers.obspm.fr/eoppc/eop/eopc04/readme        Contact: christian.bizouard@obspm.fr                              
# Reference Precession-Nutation Model: IAU 2000
# format(4(i4),f10.2,2(f12.6),f12.7,2(f12.6),2(f12.6),f12.7,2(f12.6),f12.7,2(f12.6),2(f12.6),f12.7)
# YR  MM  DD  HH       MJD        x(")        y(")  UT1-UTC(s)       dX(")       dY(")  xrt("/day)  yrt("/day)      LOD(s)        x Er        y Er  UT1-UTC Er       dX Er       dY Er      xrt Er      yrt Er      LOD Er
1962   1   1   0  37665.00   -0.012700    0.213000   0.0326338    0.000000    0.000000    0.000000    0.000000   0.0017230    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1   2   0  37666.00   -0.015900    0.214100   0.0320547    0.000000    0.000000    0.000000    0.000000   0.0016690    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1   3   0  37667.00   -0.019000    0.215200   0.0315526    0.000000    0.000000    0.000000    0.000000   0.0015820    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1   4   0  37668.00   -0.021999    0.216301   0.0311435    0.000000    0.000000    0.000000    0.000000   0.0014960    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1   5   0  37669.00   -0.024799    0.217301   0.0308154    0.000000    0.000000    0.000000    0.000000   0.0014160    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1   6   0  37670.00   -0.027599    0.218301   0.0305353    0.000000    0.000000    0.000000    0.000000   0.0013820    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1   7   0  37671.00   -0.030199    0.219301   0.0302682    0.000000    0.000000    0.000000    0.000000   0.0014130    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1   8   0  37672.00   -0.032798    0.220202   0.0299280    0.000000    0.000000    0.000000    0.000000   0.0015050    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1   9   0  37673.00   -0.035198    0.221102   0.0294869    0.000000    0.000000    0.000000    0.000000   0.0016280    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1  10   0  37674.00   -0.037498    0.222002   0.0289268    0.000000    0.000000    0.000000    0.000000   0.0017380    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1  11   0  37675.00   -0.039697    0.222803   0.0282797    0.000000    0.000000    0.000000    0.000000   0.0017940    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1  12   0  37676.00   -0.041797    0.223703   0.0276136    0.000000    0.000000    0.000000    0.000000   0.0017740    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1  13   0  37677.00   -0.043797    0.224503   0.0270075    0.000000    0.000000    0.000000    0.000000   0.0016670    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1  14   0  37678.00   -0.045697    0.225203   0.0265403    0.000000    0.000000    0.000000    0.000000   0.0015100    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1  15   0  37679.00   -0.047496    0.226004   0.0262572    0.000000    0.000000    0.000000    0.000000   0.0013120    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1  16   0  37680.00   -0.049196    0.226704   0.0261751    0.000000    0.000000    0.000000    0.000000   0.0011120    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
1962   1  17   0  37681.00   -0.050796    0.227404   0.0262740    0.000000    0.000000    0.000000    0.000000   0.0009360    0.030000    0.030000   0.0020000    0.004774    0.002000    0.000000    0.000000   0.0014000
